slide	1	2	3	4	5	6	7	8	9	10	15	16	17	18
C1A.1														
C1A.2	56.0	48.5	54.5	50.0	64.0	51.5	58.5	61.0	47.0	53.0	49.5	47.5	38.0	52.0
C1B.1	64.5	63.5	52.5	65.5	59.0	54.0	55.5	52.5	64.5	60.0	36.5	45.5	39.5	39.0
C1B.3	74.0	59.5	58.5	77.0	70.0	59.0	68.5	60.5	54.0	61.5	50.5	54.5	49.5	40.0
C2A.1	61.5	55.0	59.5	55.5	66.5	55.0	55.5							
C2A.2	45	42	44.5	47	35.5	44.5	42	43.5	39.5	38.5	43	40	43.5	43
C2A.3	65.5	67.5	61.5	60	55	58.5	64	57.5	60	56	40	43	41	47.5
C2B.1														
C3A.1											45.5	40	41	50
C3A.3	53													
C3B.2	45.0	60.0	55.5	59.5	58.0	70.0	50.5	61.5	65.0	48.0	44.0	39.0	43.5	38.5
C3B.3	61.0	72.5	63.5	62.0	77.0	60.5	75.5	62.5	73.0	70.0	54.5	50.5	73.0	59.5
T10A.2														
T10C.1														
T11A.1														
T11B.1	62.0	80.0	77.0	68.0	52.5	63.0	43.0	63.0	42.0	81.0	54.0	51.0	55.0	40.0
T11B.3	70.0	60.0	52.5	62.5	53.5	59.5	66.0	63.5	58.0	72.0	54.0	56.5	50.5	45.5
T11C.1														
T11C.2	69.0	61.5	55.5	50.0	61.5	62.0					53.5	56.0	53.5	54.0
T11C.3														
T11D.1	74.0	51.0	89.0	79.0	87.0	82.0	79.0	75.0	78.0	52.0	42.0	50.0	37.0	50.0
T11D.2														
T11D.3	67.5	91.0	88.0	100.0	53.0	66.5	79.5	68.5	78.5	92.0	42.0	55.0	42.0	60.0
T12A.1	57.5	68	59	62.5	61	60	61.5	64.5	55.5	55.5	49	46.5	43	50
T12A.2	55.0	54.5	53.0	56.0	55.5	55.0	59.0	56.5	57.0	52.0	47.0	40.0	50.0	41.5
T12B.3	54	59	53.5	51.5	51	53.5	45.5	62.5	62	54	39.5	45.5	45	32
T12C.1	72.0	65.0	40.0	52.0	71.0	67.5	63.0	73.0	62.0	66.0	43.0	43.0	46.0	47.0
T12C.2	55.0	55.5	58.0	62.5	57.5	52.5	53.0	59.5	66.5	56.0	40.0	46.5	41.5	43.0
T12C.3	51.5	46.0	65.0	57.0	55.0	60.0	52.5	64.0	56.5	60.5	63.0	56.5	69.0	57.5
T12D.1														
T12D.3														
T13A.1	55.5	58.0	65.5	50.5	53.0	51.5	62.0	61.5	70.5	70.0	45.5	40.0	50.0	39.5
T13A.2	53.0	51.0	62.0	63.0	53.5	64.0	63.0	54.0	62.0	52.0	58.0	53.0	61.0	51.0
T13A.3														
