tree	circ	dbh
T0		0
T1		0
T2		0
T3		0
T4		0
T5		0
T6	1.45	0.461549335
T7	1.78	0.566591597
T8	2.51	0.798957814
T9	2.82	0.897633879
T10	2.75	0.875352187
T11	1.78	0.566591597
T12	2.11	0.67163386
T13	1.55	0.493380324
T14	1.18	0.375605666
T15	1.32	0.42016905
T16	1.22	0.388338061
T17	1.56	0.496563422
T18	1.15	0.366056369
T19	1.3	0.413802852
T20	1.27	0.404253555
T21	1.52	0.483831027
T22	2.15	0.684366255
T23	2.5	0.795774715
T24		0
T25	3.02	0.961295856
T26	1.25	0.397887358
T27	1.43	0.455183137
T28	1.74	0.553859202
T29		0
T30	1.37	0.436084544
T31	1.12	0.356507073
T32	1.69	0.537943708
T33		0
T34		0
T35		0
T36		0
T37		0
T38		0
T39		0
T40		0
T41		0
T42		0
T43		0
T44		0
T45		0
T46		0
T47		0
T48		0
T49		0
T50	1.37	0.436084544
T51	2.05	0.652535267
T52		0
T53		0
T54		0
T55		0
T56	1.61	0.512478917
T57		0
T58		0
T59	1.19	0.378788765
T60	0.7	0.22281692
T61		0
T62	2.32	0.738478936
T63		0
T64		0
T65		0
T66	2.02	0.64298597
T67	3.7	1.177746579
T68	0.8	0.254647909
T69	1.9	0.604788784
T70	1.47	0.467915533
T71	1.7	0.541126807
T72	3.1	0.986760647
T73		0
T74		0
T75	1.75	0.557042301
T76	2	0.636619772
T77	1.8	0.572957795
T78	1.02	0.324676084
T79		0
T80		0
T81		0
T82	0.7	0.22281692
T83	0.89	0.283295799
T84	0.91	0.289661996
T85	0.93	0.296028194
T86	0.65	0.206901426
T87		0
T88		0
T89	1.42	0.452000038
T90	1.38	0.439267643
T91	0.75	0.238732415
T92	0.99	0.315126787
T93		0
T94	1.35	0.429718346
T95	1.35	0.429718346
T96	1.52	0.483831027
T97	1.04	0.331042282
T98	1.37	0.436084544
T99		0
T100	0.89	0.283295799
T101	2.16	0.687549354
T102		0
T103		0
T104	1.44	0.458366236
T105		0
T106	2.79	0.888084582
T107	1.07	0.340591578
T108	0.88	0.2801127
T109		0
T110		0
T111		0
T112	2.8	0.891267681
T113	2.11	0.67163386
T114	1.23	0.39152116
T115	1.65	0.525211312
T116	1.78	0.566591597
T117		0
T118	0.72	0.229183118
T119	0.5	0.159154943
T120	0.56	0.178253536
T121	0.57	0.181436635
T122	1.2	0.381971863
T123	0.94	0.299211293
T124		0
T125		0
T126		0
T127	1.03	0.327859183
T128		0
T129		0
T130		0
T131	1.52	0.483831027
T132		0
T133	1.73	0.550676103
T134	1.39	0.442450742
T135	1.42	0.452000038
T136	2.13	0.678000058
T137	1.97	0.627070476
T138		0
T139	1.7	0.541126807
T140	2.2	0.70028175
T141	1.9	0.604788784
T142	1.64	0.522028213
T143	1.68	0.534760609
T144	2.49	0.792591617
T145	0.76	0.241915513
T146	0.99	0.315126787
T147	1.04	0.331042282
T148		0
T149	2.56	0.814873309
T150	0.69	0.219633821
T151	0.87	0.276929601
T152	0.7	0.22281692
T153	2.1	0.668450761
T154	1.07	0.340591578
T155	1.16	0.369239468
T156		0
T157		0
T158	1.87	0.595239487
T159	1.83	0.582507092
T160	0.87	0.276929601
T161		0
T162		0
T163		0
T164	1.67	0.53157751
T165	1.78	0.566591597
T166	0.98	0.311943688
T167		0
T168	1.27	0.404253555
T169		0
T170		0
T171		0
T172		0
T173		0
T174	2.34	0.744845134
T175		0
T176		0
T177	1.88	0.598422586
T178	1.47	0.467915533
T179	1.24	0.394704259
T180	1.11	0.353323974
T181	1.19	0.378788765
T182	1.77	0.563408499
T183	1.49	0.47428173
T184	1.48	0.471098632
T185	1.25	0.397887358
T186		0
T187	0.97	0.30876059
T188	0.37	0.117774658
T189	1.03	0.327859183
T190	0.9	0.286478898
T191		0
T192		0
T193		0
T194	0.88	0.2801127
T195		0
T196	1.07	0.340591578
T197	0.88	0.2801127
T198	1.73	0.550676103
T199	1.49	0.47428173
T200	1	0.318309886
T201	0.83	0.264197206
T202	0.85	0.270563403
T203	1.7	0.541126807
T204	1.11	0.353323974
T205		0
T206	1.72	0.547493004
T207	0.69	0.219633821
T208	1.54	0.490197225
T209	1.78	0.566591597
T210	1.21	0.385154962
T211		0
T212	1.53	0.487014126
T213		0
T214	1.61	0.512478917
T215		0
T216		0
T217		0
T218	0.78	0.248281711
T219	0.83	0.264197206
T220	0.86	0.273746502
T221		0
T222		0
T223		0
